"HospitalAdmitRateDateRange","SevDayHospAdmitCount","SevDayHospAdmitRatePer100K","Population"
"2021-12-29  to  2022-01-04",1592,20.79000,7656200
"2021-12-30  to  2022-01-05",1704,22.26000,7656200
"2021-12-31  to  2022-01-06",1717,22.43000,7656200
"2022-01-01  to  2022-01-07",1780,23.25000,7656200
"2022-01-02  to  2022-01-08",1813,23.68000,7656200
"2022-01-03  to  2022-01-09",1853,24.20000,7656200
"2022-01-04  to  2022-01-10",1892,24.71000,7656200
"2022-01-05  to  2022-01-11",1940,25.34000,7656200
"2022-01-06  to  2022-01-12",1993,26.03000,7656200
"2022-01-07  to  2022-01-13",2065,26.97000,7656200
"2022-01-08  to  2022-01-14",2097,27.39000,7656200
"2022-01-09  to  2022-01-15",2182,28.50000,7656200
"2022-01-10  to  2022-01-16",2221,29.01000,7656200
"2022-01-11  to  2022-01-17",2258,29.49000,7656200
"2022-01-12  to  2022-01-18",2299,30.03000,7656200
"2022-01-13  to  2022-01-19",2341,30.58000,7656200
"2022-01-14  to  2022-01-20",2378,31.06000,7656200
"2022-01-15  to  2022-01-21",2375,31.02000,7656200
"2022-01-16  to  2022-01-22",2311,30.18000,7656200
"2022-01-17  to  2022-01-23",2279,29.77000,7656200
